img/tilesMaps2.png
17,17 18,17 19,17 20,17 21,17 22,17 23,17 24,17 25,17 11,17 12,17 13,17 14,17 21,17 22,17 23,17 24,17 25,17 17,17 11,17 12,17 13,17 14,17 22,17 23,17 17,17 18,17 19,17 20,17 21,17 22,17 23,17 24,17 25,17 17,17 18,17 19,17 20,17 21,17 22,17 23,17 24,17 25,17 17,17 18,17 19,17 20,17 21,17 22,17 23,17
17,18 18,18 19,18 20,18 21,18 22,18 23,18 24,18 25,18 11,18 12,18 13,18 14,18 21,18 22,18 23,18 24,18 25,18 17,18 11,18 12,18 13,18 14,18 22,18 23,18 17,18 18,18 19,18 20,18 21,18 22,18 23,18 24,18 25,18 17,18 18,18 19,18 20,18 21,18 22,18 23,18 24,18 25,18 17,18 18,18 19,18 20,18 21,18 22,18 23,18
17,19 18,19 19,19 20,19 21,19 22,19 23,19 24,19 25,19 11,19 12,19 13,19 14,19 21,19 22,19 23,19 24,19 25,19 17,19 11,19 12,19 13,19 14,19 22,19 23,19 17,19 18,19 19,19 20,19 21,19 22,19 23,19 24,19 25,19 17,19 18,19 19,19 20,19 21,19 22,19 23,19 24,19 25,19 17,19 18,19 19,19 20,19 21,19 22,19 23,19
17,19 18,19 19,19 20,19 21,19 22,19 23,19 24,19 25,19 11,19 12,19 13,19 14,19 21,19 22,19 23,19 24,19 25,19 17,19 11,19 12,19 13,19 14,19 22,19 23,19 17,19 18,19 19,19 20,19 21,19 22,19 23,19 24,19 25,19 17,19 18,19 19,19 20,19 21,19 22,19 23,19 24,19 25,19 17,19 18,19 19,19 20,19 21,19 22,19 23,19
55,13 56,13 55,13 56,13 55,13 56,13 55,13 56,13 55,13 56,13 55,17 56,17 55,13 56,13 55,13 56,13 55,13 56,13 56,13 55,13 56,13 55,18 55,18 56,13 55,13 55,13 56,13 55,13 56,13 55,13 56,13 55,13 56,13 55,13 56,13 55,17 56,17 55,13 56,13 55,13 56,13 55,13 56,13 56,13 55,13 56,13 55,18 55,18 55,13 56,13
55,13 55,17 56,17 56,13 55,13 56,13 55,13 56,13 55,13 56,13 55,18 56,18 55,13 56,13 55,13 56,13 55,13 56,13 56,13 55,13 56,13 55,13 55,13 55,17 56,17 55,13 55,17 56,17 56,13 55,13 56,13 55,13 56,13 55,13 56,13 55,18 56,18 55,13 56,13 55,13 56,13 55,13 56,13 56,13 55,13 56,13 55,13 55,13 55,13 56,13
55,14 55,18 56,18 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 56,14 55,14 55,20 56,20 56,14 56,14 55,14 55,14 55,18 56,18 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 56,14 55,14 55,20 56,20 56,14 56,14 55,14
55,13 31,21 32,21 56,13 55,13 56,13 31,21 32,21 55,13 56,13 55,13 56,13 55,13 31,21 32,21 55,17 56,17 56,13 56,13 31,21 32,21 55,13 56,13 56,13 55,13 55,13 31,21 32,21 56,13 55,13 56,13 31,21 32,21 55,13 56,13 55,13 56,13 55,13 31,21 32,21 55,17 56,17 56,13 56,13 31,21 32,21 55,13 56,13 56,13 55,13
55,13 31,21 32,21 56,13 55,13 56,13 31,21 32,21 55,13 56,13 55,13 56,13 55,13 31,21 32,21 55,17 56,17 56,13 56,13 31,21 32,21 55,13 56,13 56,13 55,13 55,13 31,21 32,21 56,13 55,13 56,13 31,21 32,21 55,13 56,13 55,13 56,13 55,13 31,21 32,21 55,17 56,17 56,13 56,13 31,21 32,21 55,13 56,13 56,13 55,13
55,14 55,18 56,18 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 56,14 55,14 55,20 56,20 56,14 56,14 55,14 55,14 55,18 56,18 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 55,14 56,14 56,14 55,14 55,20 56,20 56,14 56,14 55,14
55,13 31,21 32,21 56,13 55,13 56,13 31,21 32,21 55,13 56,13 55,13 56,13 55,13 31,21 32,21 55,17 56,17 56,13 56,13 31,21 32,21 55,13 56,13 56,13 55,13 55,13 31,21 32,21 56,13 55,13 56,13 31,21 32,21 55,13 56,13 55,13 56,13 55,13 31,21 32,21 55,17 56,17 56,13 56,13 31,21 32,21 55,13 56,13 56,13 55,13
